"variable","importancia_media","prob_inclusion_dart"
"retorno_tc",20.5155,0.0333333333333333
"nfci",20.0455,0.0333333333333333
"baa10y",14.3215,0.0333333333333333
"vix",14.2035,0.0333333333333333
"tp_5y",10.4835,0.0333333333333333
"d_cobre",10.269,0.0333333333333333
"d_mxn",9.9835,0.0333333333333333
"d_jpy",8.98,0.0333333333333333
"d_wti",8.8275,0.0333333333333333
"yield_to_worst",8.7565,0.0333333333333333
"d_clp",8.3725,0.0333333333333333
"d_brl",8.2905,0.0333333333333333
"d_plata",7.9645,0.0333333333333333
"tp_10y",7.4625,0.0333333333333333
"tp_1y",7.0795,0.0333333333333333
"d_eur",6.6245,0.0333333333333333
"d_dxy",6.6175,0.0333333333333333
"d_mxef",6.4805,0.0333333333333333
"tasa_usa",6.4025,0.0333333333333333
"d_cop",5.9305,0.0333333333333333
"d_zinc",5.9095,0.0333333333333333
"d_rin",5.8225,0.0333333333333333
"d_spx",5.742,0.0333333333333333
"embig_peru",5.4035,0.0333333333333333
"d_cny",4.6975,0.0333333333333333
"d_oro",4.5335,0.0333333333333333
"interv_bcrp",4.176,0.0333333333333333
"d_gbp",2.784,0.0333333333333333
"diff_tasas",2.4905,0.0333333333333333
"d_chf",1.6285,0.0333333333333333
