"variable","importancia_varianza"
"tasa_usa",8.9145
"retorno_tc",4.673
"embig_peru",4.5515
"tp_10y",4.495
"nfci",3.573
"tp_1y",2.3685
"yield_to_worst",2.359
"tp_5y",2.02
"vix",1.646
"interv_bcrp",1.5475
"d_mxn",1.4185
"baa10y",1.3775
"d_rin",1.3655
"d_cop",1.1705
"diff_tasas",1.163
"d_clp",1.1465
"d_zinc",1.1405
"d_spx",1.0655
"d_plata",1.0465
"d_dxy",0.981
"d_eur",0.9765
"d_cobre",0.9155
"d_gbp",0.894
"d_mxef",0.858
"d_oro",0.81
"d_jpy",0.7585
"d_brl",0.634
"d_wti",0.6295
"d_cny",0.601
"d_chf",0.311
