"block","date","tau","offset","calibration_n"
1,2021-03-08,0.05,-0.331733794108535,1366
1,2021-03-08,0.5,-0.0116739678081261,1366
1,2021-03-08,0.95,0.250913689641836,1366
2,2021-05-31,0.05,-0.412347601407655,1426
2,2021-05-31,0.5,-0.00758481490816272,1426
2,2021-05-31,0.95,0.318472926192431,1426
3,2021-08-23,0.05,-0.466498603789676,1486
3,2021-08-23,0.5,-0.0115711194781947,1486
3,2021-08-23,0.95,0.331643298759545,1486
4,2021-11-15,0.05,-0.52659980850919,1546
4,2021-11-15,0.5,0.015908962408927,1546
4,2021-11-15,0.95,0.335472977846965,1546
5,2022-02-07,0.05,-0.52659980850919,1606
5,2022-02-07,0.5,0.0237089014821912,1606
5,2022-02-07,0.95,0.331643298759545,1606
6,2022-05-02,0.05,-0.577170656673613,1666
6,2022-05-02,0.5,0.0244406921778366,1666
6,2022-05-02,0.95,0.367606803965721,1666
7,2022-07-25,0.05,-0.596219701438781,1726
7,2022-07-25,0.5,0.0294401856828355,1726
7,2022-07-25,0.95,0.432998529196379,1726
8,2022-10-17,0.05,-0.610484105059485,1786
8,2022-10-17,0.5,0.0515762560977331,1786
8,2022-10-17,0.95,0.427429869019291,1786
9,2023-01-09,0.05,-0.596219701438781,1846
9,2023-01-09,0.5,0.0355973994751736,1846
9,2023-01-09,0.95,0.427429869019291,1846
10,2023-04-03,0.05,-0.575869510362669,1906
10,2023-04-03,0.5,0.02117641699466,1906
10,2023-04-03,0.95,0.392529331685893,1906
11,2023-06-26,0.05,-0.485157035630866,1966
11,2023-06-26,0.5,0.00742520403642386,1966
11,2023-06-26,0.95,0.319220830867345,1966
12,2023-09-18,0.05,-0.370443240241412,2026
12,2023-09-18,0.5,-0.00115839427486319,2026
12,2023-09-18,0.95,0.326102041853151,2026
13,2023-12-11,0.05,-0.501792798549287,2086
13,2023-12-11,0.5,-0.00580701337973052,2086
13,2023-12-11,0.95,0.330388227231313,2086
14,2024-03-04,0.05,-0.325035877063786,2146
14,2024-03-04,0.5,-0.00533287372104358,2146
14,2024-03-04,0.95,0.31012115678406,2146
15,2024-05-27,0.05,-0.318205315780047,2206
15,2024-05-27,0.5,-0.00133376311847954,2206
15,2024-05-27,0.95,0.295778185585949,2206
16,2024-08-19,0.05,-0.295100441806639,2266
16,2024-08-19,0.5,-0.00541875082699889,2266
16,2024-08-19,0.95,0.247286719670782,2266
17,2024-11-11,0.05,-0.292695811626803,2326
17,2024-11-11,0.5,-0.00116244524079145,2326
17,2024-11-11,0.95,0.247286719670782,2326
18,2025-02-03,0.05,-0.268171324338437,2386
18,2025-02-03,0.5,-0.00399845052854773,2386
18,2025-02-03,0.95,0.226784998822978,2386
19,2025-04-28,0.05,-0.291937245321522,2446
19,2025-04-28,0.5,0.00449759406947715,2446
19,2025-04-28,0.95,0.20630101615119,2446
20,2025-07-21,0.05,-0.295007240213294,2506
20,2025-07-21,0.5,-0.0275771979745088,2506
20,2025-07-21,0.95,0.191366983045222,2506
21,2025-10-13,0.05,-0.292638518514192,2566
21,2025-10-13,0.5,-0.0530195877647621,2566
21,2025-10-13,0.95,0.160451789893215,2566
22,2026-01-05,0.05,-0.24987248479211,2626
22,2026-01-05,0.5,-0.0518652013452612,2626
22,2026-01-05,0.95,0.149558080302341,2626
23,2026-03-30,0.05,-0.243922607642266,2686
23,2026-03-30,0.5,-0.0518652013452612,2686
23,2026-03-30,0.95,0.153246728608526,2686
