"variable","tau_0.05","tau_0.5","tau_0.95","ratio_tau_0.05_centro","ratio_tau_0.95_centro"
"vix",0.0116731517509728,0.00447761194029851,0.0123456790123457,2.60700389105058,2.75720164609053
"baa10y",0.00778210116731518,0.0238805970149254,0.0123456790123457,0.325875486381323,0.516975308641975
"tasa_usa",0.0194552529182879,0.00447761194029851,0,4.34500648508431,0
"nfci",0,0,0.0329218106995885,NA,NA
"yield_to_worst",0.00778210116731518,0.0104477611940299,0.0164609053497942,0.744858254585881,1.57554379776602
"tp_1y",0.0194552529182879,0.0119402985074627,0.00823045267489712,1.62937743190661,0.689300411522634
"tp_5y",0,0.0492537313432836,0.0205761316872428,0,0.417757825165233
"tp_10y",0,0.00746268656716418,0.00823045267489712,0,1.10288065843621
"embig_peru",0.00389105058365759,0.0164179104477612,0.0205761316872428,0.237000353731871,1.2532734754957
"d_vix",0.0194552529182879,0.0507462686567164,0.0205761316872428,0.383382925154498,0.405470830307432
"diff_tasas",0.0194552529182879,0.0402985074626866,0.00823045267489712,0.482778498342701,0.204237158969669
"interv_bcrp",0.0389105058365759,0.0537313432835821,0.037037037037037,0.724167747514051,0.689300411522634
"interv_bcrp_missing",0.00389105058365759,0.00298507462686567,0,1.30350194552529,0
"d_rin",0.00778210116731518,0.0283582089552239,0.0411522633744856,0.274421462215851,1.45115876110028
"d_oro",0,0.0880597014925373,0.00823045267489712,0,0.0934644625793402
"d_cobre",0.0505836575875486,0,0.0288065843621399,NA,NA
"d_zinc",0.0311284046692607,0.0462686567164179,0.00823045267489712,0.672775197690473,0.177883977167131
"d_plata",0.0350194552529183,0,0.00411522633744856,NA,NA
"d_spx",0.0194552529182879,0.00149253731343284,0,13.0350194552529,0
"d_mxef",0.0116731517509728,0.0373134328358209,0.00411522633744856,0.31284046692607,0.110288065843621
"d_dxy",0.0389105058365759,0.00298507462686567,0.0411522633744856,13.0350194552529,13.7860082304527
"d_jpy",0,0.00447761194029851,0.0164609053497942,0,3.67626886145405
"d_chf",0.0350194552529183,0.00597014925373134,0.0246913580246914,5.86575875486381,4.1358024691358
"d_eur",0.00389105058365759,0.0358208955223881,0.0699588477366255,0.108625162127108,1.95301783264746
"d_gbp",0,0.017910447761194,0.0617283950617284,0,3.44650205761317
"d_clp",0.0544747081712062,0.0298507462686567,0,1.82490272373541,0
"d_cop",0.0116731517509728,0.0283582089552239,0.00823045267489712,0.411632193323776,0.290231752220056
"d_mxn",0,0.0761194029850746,0,0,0
"d_brl",0,0.00746268656716418,0,0,0
"d_cny",0.0116731517509728,0,0.0493827160493827,NA,NA
"d_wti",0.0311284046692607,0,0.0164609053497942,NA,NA
"ret_lag_1",0.0350194552529183,0.0597014925373134,0.037037037037037,0.586575875486381,0.62037037037037
"ret_lag_2",0.00778210116731518,0.0119402985074627,0.0288065843621399,0.651750972762646,2.41255144032922
"ret_lag_3",0.00389105058365759,0.00149253731343284,0.0164609053497942,2.60700389105058,11.0288065843621
"ret_lag_4",0.0583657587548638,0,0.0411522633744856,NA,NA
"ret_lag_5",0.0505836575875486,0.0104477611940299,0.0288065843621399,4.84157865480823,2.75720164609054
"abs_ret_lag_1",0.0466926070038911,0,0.0288065843621399,NA,NA
"sq_ret_lag_1",0.00389105058365759,0.0223880597014925,0.0329218106995885,0.173800259403372,1.47050754458162
"vol_sd_5",0.0272373540856031,0.0208955223880597,0.037037037037037,1.30350194552529,1.77248677248677
"vol_sd_20",0.0622568093385214,0.0238805970149254,0.00411522633744856,2.60700389105058,0.172325102880658
"vol_sd_60",0.00778210116731518,0.00298507462686567,0.0329218106995885,2.60700389105058,11.0288065843621
"vol_ewma_094",0.00389105058365759,0.0313432835820895,0.0246913580246914,0.12414304243098,0.78777189888301
"mean_abs_ret_20",0.066147859922179,0.0119402985074627,0.00823045267489712,5.53988326848249,0.689300411522634
"skew_ret_20",0.0622568093385214,0.0223880597014925,0.0205761316872428,2.78080415045396,0.919067215363512
"kurt_ret_60",0.0544747081712062,0.0716417910447761,0.0164609053497942,0.760376134889754,0.229766803840878
"vol_ratio_5_60",0.0155642023346304,0.0223880597014925,0.0617283950617284,0.695201037613489,2.75720164609054
