"tau","kappa","m","min_obs","maxdepth","pinball","pinball_sd","seeds","minutes"
0.05,0.5,50,5,3,0.0438641573588873,0.00149212491965823,"20222834,20223834",1.16203664938609
0.05,1,50,15,3,0.0461866490902643,0.010236215509692,"20222834,20223834",1.09484606981277
0.05,2,100,15,3,0.0476983025004673,0.00675306523297356,"20222834,20223834",2.05127644936244
0.05,1,50,5,3,0.0487164548382716,0.00271683613825995,"20222834,20223834",1.14334283272425
0.05,2,50,5,3,0.0506581804731333,0.004876496629103,"20222834,20223834",1.08731000026067
0.05,2,100,5,3,0.0507968939867363,0.00583697389516454,"20222834,20223834",2.26477306683858
0.05,1,100,5,3,0.0530624831780089,0.00510712762650236,"20222834,20223834",2.06611336867015
0.05,1,100,15,3,0.0531726177761166,0.000888479415581503,"20222834,20223834",2.04522409836451
0.05,0.5,50,15,3,0.0537651525430726,0.00317758810185964,"20222834,20223834",1.09275736808777
0.05,2,50,15,3,0.0545372219320451,0.000338526356360752,"20222834,20223834",1.09127756754557
0.05,0.5,100,5,3,0.0552201224039631,0.00137486154473833,"20222834,20223834",2.1269579132398
0.05,0.5,100,15,3,0.0720084839272844,0.0133395162091304,"20222834,20223834",2.01138236522675
0.5,0.5,50,15,3,0.115801526174828,0.000196090798867142,"20222834,20223834",1.48066153526306
0.5,2,50,15,3,0.119576102203779,0.000882535070823461,"20222834,20223834",1.40174641609192
0.5,1,50,15,3,0.119752805752299,0.000251366298723752,"20222834,20223834",1.39450253248215
0.5,1,100,15,3,0.12135422989934,8.29661338393976e-05,"20222834,20223834",2.49916291634242
0.5,1,50,5,3,0.122584551738682,0.00112418395493878,"20222834,20223834",1.48620656728745
0.5,2,100,15,3,0.122944096616611,0.00441204434450857,"20222834,20223834",2.49362579981486
0.5,2,50,5,3,0.123929504657628,0.000242089977323604,"20222834,20223834",1.5158501346906
0.5,2,100,5,3,0.125012488856222,0.00016299134802829,"20222834,20223834",2.74912508328756
0.5,0.5,100,15,3,0.126141493681474,0.00390437158272305,"20222834,20223834",2.48960779905319
0.5,0.5,50,5,3,0.127295566321875,0.00812215099218096,"20222834,20223834",1.48984563350677
0.5,0.5,100,5,3,0.127689217652148,0.00014861555896021,"20222834,20223834",2.56948584715525
0.5,1,100,5,3,0.133391707922451,0.00132702086412776,"20222834,20223834",2.73309551477432
0.95,2,50,15,3,0.0380559553954897,0.000985336240505211,"20222834,20223834",1.09910766681035
0.95,0.5,50,15,3,0.0391708172170673,0.00385199398217838,"20222834,20223834",1.09035233259201
0.95,1,100,15,3,0.039877138154525,0.00235986466422577,"20222834,20223834",2.04856903155645
0.95,1,100,5,3,0.0399400152368578,0.00264969305326721,"20222834,20223834",2.04086428483327
0.95,0.5,100,15,3,0.0411280966998397,0.00208107077177287,"20222834,20223834",2.0666117310524
0.95,2,50,5,3,0.0412069097675155,0.00171838382573407,"20222834,20223834",1.13221460183462
0.95,1,50,15,3,0.043555589374962,0.000892945573337932,"20222834,20223834",1.11217596530914
0.95,2,100,15,3,0.044081881135309,0.00752417015732357,"20222834,20223834",2.07576736609141
0.95,0.5,50,5,3,0.0460772255391459,0.00323514231647491,"20222834,20223834",1.11840188105901
0.95,0.5,100,5,3,0.0476845204076603,0.00567475144133866,"20222834,20223834",2.05288233359655
0.95,1,50,5,3,0.0488955740103827,0.00362029629806248,"20222834,20223834",1.15644618272781
0.95,2,100,5,3,0.0580932330575186,0.000954155920861614,"20222834,20223834",2.09390994707743
