"block","date","tau","qrf","qbart","loss_difference"
1,2021-03-08,0.05,0.0989950093760701,0.109444323935371,0.0104493145593007
2,2021-05-31,0.05,0.0818059148546913,0.121992569654394,0.0401866547997026
3,2021-08-23,0.05,0.0678075771600307,0.0701136094296791,0.00230603226964846
4,2021-11-15,0.05,0.0360401934800546,0.0480489947745205,0.0120088012944658
5,2022-02-07,0.05,0.0774876374701491,0.103500355703853,0.0260127182337041
6,2022-05-02,0.05,0.0495334240496094,0.0660401416280573,0.0165067175784479
7,2022-07-25,0.05,0.048063162462308,0.056745370980856,0.00868220851854791
8,2022-10-17,0.05,0.0423258466875862,0.0507152838656865,0.00838943717810029
9,2023-01-09,0.05,0.0437048216596998,0.0508787777634004,0.00717395610370056
10,2023-04-03,0.05,0.0340651468149426,0.0465453766818913,0.0124802298669487
11,2023-06-26,0.05,0.0406968209399851,0.0491709520812086,0.00847413114122349
12,2023-09-18,0.05,0.0526718798567814,0.0728195270494944,0.0201476471927131
13,2023-12-11,0.05,0.0381685662254354,0.0504488373440037,0.0122802711185683
14,2024-03-04,0.05,0.0482023076764324,0.0460135431711358,-0.00218876450529657
15,2024-05-27,0.05,0.039866984074016,0.0565909358358329,0.0167239517618169
16,2024-08-19,0.05,0.0420744518819673,0.0540074227369061,0.0119329708549387
17,2024-11-11,0.05,0.0290890679888522,0.0325397079762738,0.00345063998742162
18,2025-02-03,0.05,0.0360653958016115,0.0481941328422335,0.012128737040622
19,2025-04-28,0.05,0.0291150858184452,0.0337954067697707,0.00468032095132542
20,2025-07-21,0.05,0.0266140127014768,0.0267710960918243,0.000157083390347482
21,2025-10-13,0.05,0.0257326778803639,0.0324092496129224,0.00667657173255847
22,2026-01-05,0.05,0.0420121113920672,0.0416562016388084,-0.00035590975325874
23,2026-03-30,0.05,0.0580636235345393,0.0473878216367326,-0.0106758018978067
1,2021-03-08,0.5,0.269187564837282,0.285430582509087,0.0162430176718048
2,2021-05-31,0.5,0.215792894942596,0.234692588834572,0.0188996938919759
3,2021-08-23,0.5,0.120014759247463,0.160167724568145,0.0401529653206824
4,2021-11-15,0.5,0.145059812385238,0.161020366343056,0.015960553957818
5,2022-02-07,0.5,0.276662390579564,0.308983296803682,0.032320906224118
6,2022-05-02,0.5,0.21780637550671,0.241249833488923,0.0234434579822134
7,2022-07-25,0.5,0.156496489539447,0.167860050366676,0.0113635608272286
8,2022-10-17,0.5,0.118789852207285,0.170651298059063,0.0518614458517788
9,2023-01-09,0.5,0.148795649204758,0.164017020408111,0.0152213712033527
10,2023-04-03,0.5,0.101737938759093,0.121894335618898,0.0201563968598046
11,2023-06-26,0.5,0.123919874031833,0.132855662846753,0.00893578881491979
12,2023-09-18,0.5,0.134848166003523,0.1659023718208,0.0310542058172767
13,2023-12-11,0.5,0.133868142758171,0.164355910468075,0.0304877677099036
14,2024-03-04,0.5,0.150246268284307,0.164792430526987,0.01454616224268
15,2024-05-27,0.5,0.12130494397331,0.152684132923965,0.0313791889506556
16,2024-08-19,0.5,0.124290085007561,0.140516261059131,0.0162261760515702
17,2024-11-11,0.5,0.0983180328528972,0.143137952040055,0.0448199191871574
18,2025-02-03,0.5,0.111633846550904,0.159148050062977,0.0475142035120728
19,2025-04-28,0.5,0.116238389266885,0.130555931322504,0.0143175420556189
20,2025-07-21,0.5,0.121578946226127,0.154072666874301,0.0324937206481741
21,2025-10-13,0.5,0.0776926809551844,0.130886474707616,0.0531937937524317
22,2026-01-05,0.5,0.122998378925822,0.147144370552741,0.0241459916269186
23,2026-03-30,0.5,0.162007077974694,0.182930330209155,0.0209232522344608
1,2021-03-08,0.95,0.078540892658277,0.115997668420484,0.0374567757622074
2,2021-05-31,0.95,0.111011222937118,0.117612939416839,0.00660171647972059
3,2021-08-23,0.95,0.036531459587514,0.0451449230503139,0.00861346346279995
4,2021-11-15,0.95,0.036994061456693,0.0387116699171542,0.00171760846046119
5,2022-02-07,0.95,0.098047778380178,0.104696216132741,0.00664843775256296
6,2022-05-02,0.95,0.0580168035561835,0.0647253412785004,0.00670853772231691
7,2022-07-25,0.95,0.0386267326622512,0.0497063969688019,0.0110796643065507
8,2022-10-17,0.95,0.0361437540796087,0.0505991448067734,0.0144553907271647
9,2023-01-09,0.95,0.0365225829189783,0.0435925325384726,0.00706994961949425
10,2023-04-03,0.95,0.0272471070459886,0.0411728749899092,0.0139257679439206
11,2023-06-26,0.95,0.0367593135224229,0.0351406729573682,-0.00161864056505474
12,2023-09-18,0.95,0.0362157908804506,0.0430299826971426,0.00681419181669198
13,2023-12-11,0.95,0.0412712657028828,0.042188251657398,0.000916985954515195
14,2024-03-04,0.95,0.036418467720071,0.0452167977747009,0.00879833005462988
15,2024-05-27,0.95,0.0370244941277852,0.0397180931394896,0.00269359901170438
16,2024-08-19,0.95,0.0269696138825036,0.0371785491307957,0.0102089352482921
17,2024-11-11,0.95,0.031473299272312,0.0361775779272767,0.00470427865496471
18,2025-02-03,0.95,0.0305337873228977,0.0454678295439483,0.0149340422210506
19,2025-04-28,0.95,0.0329444082676326,0.0364526689329011,0.00350826066526848
20,2025-07-21,0.95,0.0306444343342454,0.0321109717264237,0.00146653739217831
21,2025-10-13,0.95,0.0271794851733389,0.038492908280985,0.0113134231076461
22,2026-01-05,0.95,0.0468412409623645,0.0418798376396222,-0.00496140332274227
23,2026-03-30,0.95,0.0561929888230192,0.0542499833598976,-0.00194300546312162
