"variable","tau_name","importance","percentile"
"tp_5y","tau_0.05",0,"5"
"tp_5y","tau_0.5",0.0492537313432836,"50"
"tp_5y","tau_0.95",0.0205761316872428,"95"
"d_vix","tau_0.05",0.0194552529182879,"5"
"d_vix","tau_0.5",0.0507462686567164,"50"
"d_vix","tau_0.95",0.0205761316872428,"95"
"diff_tasas","tau_0.05",0.0194552529182879,"5"
"diff_tasas","tau_0.5",0.0402985074626866,"50"
"diff_tasas","tau_0.95",0.00823045267489712,"95"
"interv_bcrp","tau_0.05",0.0389105058365759,"5"
"interv_bcrp","tau_0.5",0.0537313432835821,"50"
"interv_bcrp","tau_0.95",0.037037037037037,"95"
"d_rin","tau_0.05",0.00778210116731518,"5"
"d_rin","tau_0.5",0.0283582089552239,"50"
"d_rin","tau_0.95",0.0411522633744856,"95"
"d_oro","tau_0.05",0,"5"
"d_oro","tau_0.5",0.0880597014925373,"50"
"d_oro","tau_0.95",0.00823045267489712,"95"
"d_cobre","tau_0.05",0.0505836575875486,"5"
"d_cobre","tau_0.5",0,"50"
"d_cobre","tau_0.95",0.0288065843621399,"95"
"d_zinc","tau_0.05",0.0311284046692607,"5"
"d_zinc","tau_0.5",0.0462686567164179,"50"
"d_zinc","tau_0.95",0.00823045267489712,"95"
"d_mxef","tau_0.05",0.0116731517509728,"5"
"d_mxef","tau_0.5",0.0373134328358209,"50"
"d_mxef","tau_0.95",0.00411522633744856,"95"
"d_dxy","tau_0.05",0.0389105058365759,"5"
"d_dxy","tau_0.5",0.00298507462686567,"50"
"d_dxy","tau_0.95",0.0411522633744856,"95"
"d_eur","tau_0.05",0.00389105058365759,"5"
"d_eur","tau_0.5",0.0358208955223881,"50"
"d_eur","tau_0.95",0.0699588477366255,"95"
"d_gbp","tau_0.05",0,"5"
"d_gbp","tau_0.5",0.017910447761194,"50"
"d_gbp","tau_0.95",0.0617283950617284,"95"
"d_clp","tau_0.05",0.0544747081712062,"5"
"d_clp","tau_0.5",0.0298507462686567,"50"
"d_clp","tau_0.95",0,"95"
"d_mxn","tau_0.05",0,"5"
"d_mxn","tau_0.5",0.0761194029850746,"50"
"d_mxn","tau_0.95",0,"95"
"d_cny","tau_0.05",0.0116731517509728,"5"
"d_cny","tau_0.5",0,"50"
"d_cny","tau_0.95",0.0493827160493827,"95"
"ret_lag_1","tau_0.05",0.0350194552529183,"5"
"ret_lag_1","tau_0.5",0.0597014925373134,"50"
"ret_lag_1","tau_0.95",0.037037037037037,"95"
"ret_lag_4","tau_0.05",0.0583657587548638,"5"
"ret_lag_4","tau_0.5",0,"50"
"ret_lag_4","tau_0.95",0.0411522633744856,"95"
"ret_lag_5","tau_0.05",0.0505836575875486,"5"
"ret_lag_5","tau_0.5",0.0104477611940299,"50"
"ret_lag_5","tau_0.95",0.0288065843621399,"95"
"abs_ret_lag_1","tau_0.05",0.0466926070038911,"5"
"abs_ret_lag_1","tau_0.5",0,"50"
"abs_ret_lag_1","tau_0.95",0.0288065843621399,"95"
"vol_sd_5","tau_0.05",0.0272373540856031,"5"
"vol_sd_5","tau_0.5",0.0208955223880597,"50"
"vol_sd_5","tau_0.95",0.037037037037037,"95"
"vol_sd_20","tau_0.05",0.0622568093385214,"5"
"vol_sd_20","tau_0.5",0.0238805970149254,"50"
"vol_sd_20","tau_0.95",0.00411522633744856,"95"
"mean_abs_ret_20","tau_0.05",0.066147859922179,"5"
"mean_abs_ret_20","tau_0.5",0.0119402985074627,"50"
"mean_abs_ret_20","tau_0.95",0.00823045267489712,"95"
"skew_ret_20","tau_0.05",0.0622568093385214,"5"
"skew_ret_20","tau_0.5",0.0223880597014925,"50"
"skew_ret_20","tau_0.95",0.0205761316872428,"95"
"kurt_ret_60","tau_0.05",0.0544747081712062,"5"
"kurt_ret_60","tau_0.5",0.0716417910447761,"50"
"kurt_ret_60","tau_0.95",0.0164609053497942,"95"
"vol_ratio_5_60","tau_0.05",0.0155642023346304,"5"
"vol_ratio_5_60","tau_0.5",0.0223880597014925,"50"
"vol_ratio_5_60","tau_0.95",0.0617283950617284,"95"
